id,SQ3,HQ2,SQ4,SQ5,SQ8,DQ1,DQ3,DQ3_1,DQ4,'brand_loyalty','cooking_convenience','health_orientation','hmr_preference','premium_orientation','price_sensitivity','variety_seeking'
3J237032,남자,60대 이상,농림어업 숙련 종사자,중졸 이하,경상남도,1세대가족,기혼,맞벌이 하지 않음,100만원 미만,0.15728685426291475,0.15554039567293637,0.08486890597030641,0.14437543133195307,0.07761757175582805,0.13676697530864199,0.22031187524990006
4O152029,여자,50대,판매 종사자,고졸(대학 재학 포함),강원도,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.18122637547249054,0.1348796413604912,0.09030922045558247,0.14230503795721186,0.12269235952028028,0.15817901234567902,0.29055044648807143
4A025028,여자,30대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.22217555648887022,0.2310690965792808,0.06402021691060335,0.1616287094547964,0.08294030454116695,0.19521604938271606,0.22124483539917367
4A025032,여자,50대,사무 종사자,대학교 졸업(전문대졸/대학원생 포함),서울특별시,2세대가족,기혼,맞벌이 함,"900-1,000만원 미만",0.2015959680806384,0.20865412727804308,0.08311396581376576,0.15886818495514146,0.08981269370704757,0.154320987654321,0.274556843929095
3J237036,남자,50대,장치·기계 조작 및 조립 종사자,고졸(대학 재학 포함),경상남도,1세대가족,기혼,맞벌이 함,400-500만원 미만,0.1997060058798824,0.16021830230971643,0.07935839387876874,0.12022084195997239,0.09911063199029779,0.15345293209876543,0.18392642942822873
4C069054,여자,60대 이상,주부,대학교 졸업(전문대졸/대학원생 포함),인천광역시,1세대가족,기혼,맞벌이 하지 않음,400-500만원 미만,0.1010079798404032,0.11119773901179222,0.13386683514092168,0.13126293995859212,0.08428783182859452,0.10223765432098766,0.11768625882980141
1M000121,여자,40대,서비스 종사자,대학교 졸업(전문대졸/대학원생 포함),충청북도,2세대가족,기혼,맞벌이 함,500-600만원 미만,0.09827803443931121,0.16187506091024267,0.07462005545610895,0.136783988957902,0.06016709338364101,0.18422067901234568,0.2336398773823804
4O152032,여자,60대 이상,주부,고졸(대학 재학 포함),강원도,1세대가족,기혼,맞벌이 하지 않음,300-400만원 미만,0.13439731205375893,0.16021830230971643,0.091713172580815,0.14782608695652172,0.09877375016844091,0.15625,0.28122084499533523
4A025040,여자,50대,서비스 종사자,고졸(대학 재학 포함),서울특별시,2세대가족,기혼,맞벌이 함,700-800만원 미만,0.23351532969340613,0.19598479680343048,0.08708013056754765,0.15886818495514146,0.09432691011992993,0.1871141975308642,0.28655204584832733
4C069066,여자,60대 이상,판매 종사자,대학교 졸업(전문대졸/대학원생 포함),인천광역시,2세대가족,기혼,맞벌이 함,700-800만원 미만,0.09344813103737926,0.11509599454244226,0.12930399073391596,0.136783988957902,0.08961056461393344,0.11284722222222222,0.1283486605357857
