상품명,3차 카테고리,식품유형,용도,가격,평점,리뷰 수,중량 수치,묶음수량,총중량,10g당 가격,상품ID,상품URL,basename,카테고리,세부형태,주재료/맛,조리유형,섭취용도,포장방식,고객평가,is_mixed_bundle,has_gift,is_valid_for_conjoint
동원 양반 캔김치 160g x 48캔,반찬/기타통조림,반찬,반찬,78000,5.0,1,160,48,7680,101.56,3679979,https://www.dongwonmall.com/product/detail.do?productId=003679979,동원 양반 캔김치,,,확인필요,,,캔,,False,False,True
[4%적립금] 동원 고추참치(덕용) 1880gx6개 ( 박스 ),참치/연어통조림,통조림,반찬/주재료,109000,5.0,1,1880,6,11280,96.63,3758624,https://www.dongwonmall.com/product/detail.do?productId=003758624,동원 고추참치,참치/통조림,플레이크형,스파이시(고추소스),즉석,반찬,캔,,False,False,True
동원 참치액 진 2kg,동원참치액,소스,조미료,18900,5.0,1,2000,1,2000,94.5,3823706,https://www.dongwonmall.com/product/detail.do?productId=003823706,동원 참치액 진,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
양반 1등비법 듬뿍 밤단팥죽 285g x 3개,죽/스프,즉석조리식품,간편식사,7900,5.0,1,285,3,855,92.4,3733050,https://www.dongwonmall.com/product/detail.do?productId=003733050,양반 1등비법 듬뿍 밤단팥죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,False,False,True
[4% 적립금] 동원 양반 떡국떡 320g x 12개(1박스) / 실온,떡볶이/떡류,떡류,간식,33000,5.0,1,320,12,3840,85.94,3720743,https://www.dongwonmall.com/product/detail.do?productId=003720743,동원 양반 떡국떡 실온,즉석국/탕,국/탕,확인필요,전자레인지,식사대용,파우치,,False,False,True
[4%적립금] 동원 꽁치 1.8kg x 6개(1박스),고등어/꽁치통조림,통조림,반찬,92400,5.0,1,1800,6,10800,85.56,3687736,https://www.dongwonmall.com/product/detail.do?productId=003687736,동원 꽁치,수산가공/통조림,,"해물, 꽁치",즉석,식재료,캔,,False,False,True
[2%적립금] 동원 꽁치 1880g,고등어/꽁치통조림,통조림,반찬,16000,5.0,1,1880,1,1880,85.11,2192,https://www.dongwonmall.com/product/detail.do?productId=000002192,동원 꽁치,수산가공/통조림,,"해물, 꽁치",즉석,식재료,캔,,False,False,True
양반 1등비법 듬뿍 밤단팥죽 285g x 6개,죽/스프,즉석조리식품,간편식사,13900,5.0,1,285,6,1710,81.29,3733051,https://www.dongwonmall.com/product/detail.do?productId=003733051,양반 1등비법 듬뿍 밤단팥죽,죽류,레토르트죽,확인필요,전자레인지,식사대용,캔,,False,False,True
동원 미니파인코코 227g x 6캔,과일/옥수수/팥,통조림,간식/요리재료,11000,5.0,1,227,6,1362,80.76,3619059,https://www.dongwonmall.com/product/detail.do?productId=003619059,동원 미니파인코코,,,확인필요,,,캔,,False,False,True
동원 하루미 소갈비양념 500g,고기/찌개양념,양념,조미료,3980,5.0,1,500,1,500,79.6,3751043,https://www.dongwonmall.com/product/detail.do?productId=003751043,동원 하루미 소갈비양념,소스/조미료,,확인필요,,,,,False,False,True
동원 저스트 노슈가 후르츠칵테일 425gx6개,과일/옥수수/팥,통조림,간식/요리재료,17500,5.0,1,425,6,2550,68.63,3731539,https://www.dongwonmall.com/product/detail.do?productId=003731539,동원 저스트 노슈가 후르츠칵테일,,,확인필요,,,캔,,False,False,True
동원 저스트 노슈가 후르츠칵테일 425gx12개,과일/옥수수/팥,통조림,간식/요리재료,30000,5.0,1,425,12,5100,58.82,3731556,https://www.dongwonmall.com/product/detail.do?productId=003731556,동원 저스트 노슈가 후르츠칵테일,,,확인필요,,,캔,,False,False,True
[2% 적립금] 동원 참치액 진 2kgx6개 ( 1box),동원참치액,소스,조미료,69900,5.0,1,2000,6,12000,58.25,3823711,https://www.dongwonmall.com/product/detail.do?productId=003823711,동원 참치액 진,참치/통조림,플레이크형,확인필요,즉석,반찬,캔,,False,False,True
